IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.201.245,2087,2087,true,SIN,Asia Pacific,Singapore,51,4.22
8.210.156.6,2083,2083,true,HKG,Asia Pacific,Hong Kong,81,4.22
47.237.81.112,2087,2087,true,SIN,Asia Pacific,Singapore,57,4.21
8.219.191.110,2087,2087,true,SIN,Asia Pacific,Singapore,65,4.21
47.237.86.185,2083,2083,true,SIN,Asia Pacific,Singapore,84,4.20
47.236.130.95,443,443,true,SIN,Asia Pacific,Singapore,85,4.20
8.218.81.14,2053,2053,true,HKG,Asia Pacific,Hong Kong,110,4.20
47.236.63.152,443,443,true,SIN,Asia Pacific,Singapore,82,4.19
47.245.118.70,8443,8443,true,SIN,Asia Pacific,Singapore,26,4.19
47.242.176.237,2087,2087,true,HKG,Asia Pacific,Hong Kong,84,4.19
8.210.9.129,2087,2087,true,HKG,Asia Pacific,Hong Kong,46,4.19
8.218.85.128,2087,2087,true,HKG,Asia Pacific,Hong Kong,81,4.19
47.254.236.28,80,443,true,SIN,Asia Pacific,Singapore,8,4.18
47.237.95.140,2096,2096,true,SIN,Asia Pacific,Singapore,108,4.18
47.237.95.146,2083,2083,true,SIN,Asia Pacific,Singapore,153,4.18
47.250.155.74,80,443,true,SIN,Asia Pacific,Singapore,14,4.18
47.76.233.67,2083,2083,true,HKG,Asia Pacific,Hong Kong,107,4.17
47.242.234.127,2096,2096,true,HKG,Asia Pacific,Hong Kong,43,4.17
8.210.146.108,2087,2087,true,HKG,Asia Pacific,Hong Kong,59,4.17
47.76.49.246,2083,2083,true,HKG,Asia Pacific,Hong Kong,120,4.17
8.219.5.10,2096,2096,true,SIN,Asia Pacific,Singapore,25,4.16
8.210.146.108,2096,2096,true,HKG,Asia Pacific,Hong Kong,67,4.16
8.219.93.5,2096,2096,true,SIN,Asia Pacific,Singapore,125,4.16
47.242.36.78,8443,8443,true,HKG,Asia Pacific,Hong Kong,58,4.16
8.219.106.156,2053,2053,true,SIN,Asia Pacific,Singapore,117,4.15
8.219.235.164,2053,2053,true,SIN,Asia Pacific,Singapore,58,4.15
47.250.157.38,80,443,true,SIN,Asia Pacific,Singapore,9,4.15
47.238.235.163,443,443,true,HKG,Asia Pacific,Hong Kong,42,4.15
8.219.124.227,2053,2053,true,SIN,Asia Pacific,Singapore,94,4.15
8.210.244.38,2096,2096,true,HKG,Asia Pacific,Hong Kong,47,4.13
8.219.210.64,2053,2053,true,SIN,Asia Pacific,Singapore,88,4.13
47.245.84.124,2087,2087,true,SIN,Asia Pacific,Singapore,30,4.13
47.242.232.14,2053,2053,true,HKG,Asia Pacific,Hong Kong,138,4.13
47.250.159.36,80,443,true,SIN,Asia Pacific,Singapore,11,4.13
47.76.159.146,2087,2087,true,HKG,Asia Pacific,Hong Kong,90,4.12
8.219.174.213,443,443,true,SIN,Asia Pacific,Singapore,112,4.12
8.217.149.28,2083,2083,true,HKG,Asia Pacific,Hong Kong,47,4.11
47.243.86.79,2053,2053,true,HKG,Asia Pacific,Hong Kong,101,4.11
8.213.208.6,80,443,true,BKK,Asia Pacific,Bangkok,30,4.11
47.243.86.79,2087,2087,true,HKG,Asia Pacific,Hong Kong,58,4.10
47.242.79.71,8443,8443,true,HKG,Asia Pacific,Hong Kong,111,4.10
8.219.170.232,2083,2083,true,SIN,Asia Pacific,Singapore,56,4.10
8.219.11.158,2083,2083,true,SIN,Asia Pacific,Singapore,64,4.09
8.219.122.55,2096,2096,true,SIN,Asia Pacific,Singapore,128,4.08
8.219.100.168,2053,2053,true,SIN,Asia Pacific,Singapore,77,4.08
47.245.84.124,2083,2083,true,SIN,Asia Pacific,Singapore,23,4.08
